Marka,Model,Buraxlis ili,Reng,Yanacaq novu,Muherrik hecmi,Suretler_qutusu,Yurus,Qiymet
BMW,528,1998,Qara,Benzin,2.8 L,Avtomat,233 455 km,11 000 AZN
BMW,528,2015,Ağ,Benzin,2.0 L,Avtomat,65 000 km,23 900 $
Ford,Transit,1995,Göy,Dizel,2.4 L,Mexaniki,310 439 km,16 000 AZN
Toyota,Camry,2014,Qara,Benzin,2.5 L,Avtomat,104 000 km,22 300 $
Toyota,Prius,2010,Yaş Asfalt,Benzin,1.8 L,Avtomat,141 441 km,17 200 AZN
BMW,728,1999,Göy,Benzin,2.8 L,Avtomat,334 000 km,14 500 AZN
Opel,Astra,1999,Gümüşü,Benzin,1.6 L,Avtomat,246 000 km,8 900 AZN
Nissan,Teana,2012,Qara,Benzin,2.5 L,Avtomat,123 000 km,14 200 $
Toyota,Prado,2015,Ağ,Benzin,2.7 L,Avtomat,84 000 km,33 500 $
Chevrolet,Cruze,2015,Ağ,Benzin,1.4 L,Avtomat,65 000 km,15 300 AZN
Land Rover,RR Sport,2012,Qara,Dizel,3.0 L,Avtomat,173 000 km,36 500 $
Ford,Fusion,2017,Yaş Asfalt,Benzin,1.5 L,Avtomat,37 000 km,23 900 AZN
Hyundai,Tucson,2006,Ağ,Benzin,2.7 L,Avtomat,187 000 km,14 300 AZN
Mercedes,C 180,1995,Yaş Asfalt,Benzin,1.8 L,Avtomat,245 136 km,7 400 AZN
Ford,Transit,2008,Ağ,Dizel,2.4 L,Mexaniki,205 000 km,22 400 AZN
Mercedes,E 230,1997,Göy,Benzin,2.3 L,Avtomat,340 000 km,10 500 AZN
Toyota,Prius,2007,Gümüşü,Hibrid,1.5 L,Avtomat,150 000 km,12 000 AZN
Hyundai,Genesis,2014,Qara,Benzin,3.0 L,Avtomat,108 000 km,34 500 $
Mercedes,ML 350,2006,Qara,Benzin,3.5 L,Avtomat,175 000 km,23 500 AZN
Toyota,Corolla,2006,Ağ,Dizel,1.4 L,Mexaniki,214 000 km,11 700 AZN
Chevrolet,Trax,2019,Ağ,Benzin,1.4 L,Avtomat,6 950 km,27 400 AZN
LADA (VAZ),2107,2009,Mavi,Benzin,1.6 L,Mexaniki,163 000 km,5 500 AZN
Fiat,Qubo,2014,Ağ,Benzin,1.4 L,Mexaniki,188 920 km,11 800 AZN
Hyundai,Elantra,2017,Ağ,Dizel,1.6 L,Avtomat,39 000 km,28 000 AZN
LADA (VAZ),21099,1995,Ağ,Benzin,1.6 L,Mexaniki,399 999 km,3 800 AZN
Mercedes,C 230,2000,Qızılı,Benzin,2.3 L,Avtomat,200 000 km,12 000 AZN
Land Rover,Range Rover,2020,Ağ,Benzin,3.0 L,Avtomat,0 km,119 000 €
Opel,Astra,1998,Gümüşü,Benzin,1.6 L,Mexaniki,233 000 km,8 350 AZN
Toyota,Prado,2008,Ağ,Benzin,4.0 L,Avtomat,133 303 km,41 000 AZN
Toyota,FJ Cruiser,2011,Ağ,Benzin,4.0 L,Avtomat,165 000 km,26 600 $
Volkswagen,Touareg,2009,Boz,Benzin,4.2 L,Avtomat,201 500 km,19 900 AZN
Mercedes,208 D,1991,Yaş Asfalt,Dizel,2.3 L,Mexaniki,361 000 km,9 800 AZN
Chevrolet,Cruze,2011,Qara,Benzin,1.4 L,Avtomat,150 000 km,12 600 AZN
Tofas,Dogan,2005,Yaş Asfalt,Benzin,1.6 L,Mexaniki,62 954 km,7 600 AZN
Hyundai,Santa Fe,2011,Boz,Dizel,2.2 L,Avtomat,274 890 km,26 000 AZN
Toyota,Prius,2007,Qara,Hibrid,1.5 L,Avtomat,144 995 km,13 100 AZN
Mercedes,E 200,2007,Qara,Benzin,1.8 L,Avtomat,178 000 km,25 800 AZN
Audi,A6,2008,Ağ,Benzin,2.5 L,Avtomat,170 000 km,19 000 AZN
Mercedes,E 200,1994,Gümüşü,Benzin,2.0 L,Avtomat,367 329 km,12 000 AZN
Chevrolet,Cruze,2015,Qara,Benzin,1.8 L,Avtomat,90 000 km,16 800 AZN
LADA (VAZ),2107,2009,Ağ,Benzin,1.5 L,Mexaniki,97 000 km,6 900 AZN
Hyundai,Accent,2017,Ağ,Benzin,1.6 L,Avtomat,52 400 km,17 700 AZN
Mercedes,C 180,1997,Göy,Benzin,1.8 L,Mexaniki,345 000 km,7 700 AZN
Toyota,Land Cruiser,2010,Qara,Benzin,4.7 L,Avtomat,126 547 km,34 600 $
Fiat,Doblo,2006,Narıncı,Dizel,1.9 L,Mexaniki,243 857 km,10 500 AZN
Ford,Transit,2008,Ağ,Dizel,2.4 L,Mexaniki,205 000 km,22 400 AZN
Toyota,Prius,2011,Ağ,Elektro,1.8 L,Avtomat,110 000 km,18 200 AZN
Mercedes,E 220,2013,Qara,Dizel,2.2 L,Avtomat,114 000 km,23 800 $
Mercedes,GL 500,2012,Ağ,Benzin,5.5 L,Avtomat,147 000 km,35 000 $
Renault,Megane,2009,Yaşıl,Dizel,1.5 L,Mexaniki,195 000 km,14 500 AZN
Ford,Fusion,2015,Gümüşü,Benzin,2.0 L,Avtomat,120 000 km,23 800 AZN
LADA (VAZ),Priora,2013,Ağ,Benzin,1.6 L,Mexaniki,106 439 km,11 300 AZN
LADA (VAZ),2107,2003,Ağ,Benzin,1.6 L,Mexaniki,85 632 km,4 900 AZN
BMW,X5,2006,Ağ,Benzin,4.8 L,Avtomat,157 000 km,32 800 AZN
Toyota,RAV 4,2020,Boz,Benzin,2.0 L,Avtomat,0 km,34 500 $
Subaru,Forester,2007,Qara,Benzin,2.0 L,Avtomat,185 000 km,10 000 AZN
Kia,Sorento,2012,Qara,Dizel,2.0 L,Avtomat,65 824 km,27 500 AZN
Tofas,Dogan,2005,Yaş Asfalt,Benzin,1.6 L,Mexaniki,62 954 km,7 600 AZN
Nissan,Patrol,2005,Boz,Dizel,3.0 L,Avtomat,179 000 km,17 400 $
Opel,Astra,2001,Göy,Benzin,1.6 L,Avtomat,215 000 km,9 300 AZN
Land Rover,Discovery,2013,Ağ,Benzin,5.0 L,Avtomat,84 000 km,38 800 $
Audi,A6,2008,Ağ,Benzin,2.5 L,Avtomat,170 000 km,19 000 AZN
Toyota,Prado,2014,Qara,Benzin,2.7 L,Avtomat,78 000 km,34 500 $
Land Rover,Discovery,2015,Qara,Benzin,3.0 L,Avtomat,77 000 km,51 800 $
Chevrolet,Cruze,2017,Boz,Benzin,1.4 L,Avtomat,109 600 km,18 500 AZN
Hyundai,Elantra,2008,Gümüşü,Dizel,1.6 L,Avtomat,118 750 km,13 900 AZN
Mercedes,S 350,2011,Qara,Benzin,3.5 L,Avtomat,146 000 km,26 700 $
Volkswagen,Transporter,1995,Gümüşü,Benzin,2.5 L,Mexaniki,290 000 km,4 900 AZN
Lexus,LS 460,2014,Qara,Benzin,4.6 L,Avtomat,128 000 km,47 500 $
Changan,Eado,2013,Ağ,Benzin,1.6 L,Avtomat,240 000 km,9 000 AZN
Mercedes,E 240,2002,Gümüşü,Benzin,2.4 L,Avtomat,227 000 km,17 800 AZN
Mercedes,V 250,2015,Qara,Dizel,2.5 L,Avtomat,174 000 km,31 800 $
Mercedes,C 220,1994,Boz,Benzin,2.2 L,Avtomat,321 000 km,7 850 AZN
Mercedes,E 240,2002,Gümüşü,Benzin,2.4 L,Avtomat,251 557 km,16 400 AZN
LADA (VAZ),2107,2005,Ağ,Benzin,1.5 L,Mexaniki,357 000 km,5 400 AZN
Ford,Fusion,2015,Qara,Benzin,1.5 L,Avtomat,101 000 km,17 900 AZN
LADA (VAZ),2107,2009,Göy,Benzin,1.6 L,Mexaniki,172 856 km,7 399 AZN
Hyundai,ix35,2013,Ağ,Benzin,2.4 L,Avtomat,126 000 km,27 900 AZN
Lexus,RX 330,2004,Ağ,Benzin,3.3 L,Avtomat,170 000 km,16 900 AZN
Volkswagen,Passat,2002,Ağ,Benzin,2.0 L,Avtomat,170 000 km,6 700 AZN
Marka,Model,Buraxlis ili,Reng,Yanacaq novu,Muherrik hecmi,Suretler_qutusu,Yurus,Qiymet
GAZ,A21R22-03,2020,Ağ,Dizel,2.8 L,Mexaniki,0 km,42 600 AZN
BMW,530,2010,Qara,Benzin,3.0 L,Avtomat,135 000 km,9 800 $
GAZ,Next A22R32,2020,Ağ,Dizel,2.8 L,Mexaniki,0 km,45 000 AZN
Hyundai,ix35,2010,Ağ,Dizel,2.0 L,Avtomat,83 000 km,21 500 AZN
Toyota,Corolla,2016,Yaş Asfalt,Benzin,1.5 L,Avtomat,14 982 km,26 500 AZN
Daewoo,Espero,1997,Ağ,Benzin,2.0 L,Mexaniki,240 000 km,3 400 AZN
Audi,A4,2010,Ağ,Benzin,2.0 L,Avtomat,97 000 km,13 200 $
Mercedes,E 320,2000,Qara,Benzin,3.2 L,Avtomat,290 000 km,21 000 AZN
Toyota,Prado,2014,Qara,Benzin,2.7 L,Avtomat,97 000 km,32 500 $
LADA (VAZ),Niva,2012,Ağ,Benzin,1.7 L,Mexaniki,190 000 km,9 500 AZN
Hyundai,Tucson,2009,Qara,Dizel,2.0 L,Avtomat,57 000 km,16 900 AZN
BMW,320,2002,Qara,Benzin,2.0 L,Avtomat,192 000 km,14 800 AZN
GAZ,3302-744,2020,Ağ,Benzin,2.7 L,Mexaniki,0 km,25 500 AZN
Opel,Zafira,2002,Yaş Asfalt,Benzin,2.2 L,Avtomat,231 445 km,9 800 AZN
LADA (VAZ),21011,1980,Bej,Benzin,1.5 L,Mexaniki,219 854 km,1 800 AZN
Opel,Vectra,1997,Ağ,Benzin,1.8 L,Avtomat,225 000 km,6 700 AZN
LADA (VAZ),Priora,2013,Göy,Benzin,1.6 L,Mexaniki,150 000 km,10 900 AZN
GAZ,Next A21R22-30,2020,Ağ,Dizel,2.8 L,Mexaniki,0 km,35 500 AZN
Mini,Cooper,2012,Narıncı,Benzin,1.6 L,Avtomat,187 800 km,19 900 AZN
Infiniti,Q70,2014,Qara,Benzin,3.7 L,Avtomat,80 000 km,22 500 $
Mercedes,E 200,2010,Qara,Benzin,1.8 L,Avtomat,163 000 km,30 000 AZN
Kia,Sportage,2011,Ağ,Benzin,2.0 L,Avtomat,80 000 km,25 500 AZN
Jaguar,S-Type,2000,Göy,Benzin,4.0 L,Avtomat,114 528 km,10 500 AZN
Mercedes,190,1992,Bənövşəyi,Benzin,1.8 L,Avtomat,250 000 km,6 500 AZN
LADA (VAZ),2107,2007,Bənövşəyi,Benzin,1.6 L,Mexaniki,120 000 km,7 600 AZN
Mercedes,E 240,2003,Qara,Benzin,2.6 L,Avtomat,265 000 km,16 800 AZN
GAZ,24-10,1989,Ağ,Dizel,2.4 L,Mexaniki,181 396 km,5 500 AZN
LADA (VAZ),2107,2006,Tünd qırmızı,Benzin,1.6 L,Mexaniki,36 500 km,4 900 AZN
Khazar,LX,2019,Ağ,Benzin,1.7 L,Mexaniki,25 800 km,14 000 AZN
SEAT,Ibiza,2012,Ağ,Benzin,1.6 L,Avtomat,110 000 km,11 500 AZN
BMW,523,1997,Göy,Benzin,2.5 L,Avtomat,415 000 km,10 500 AZN
Toyota,Prado,2014,Qara,Benzin,2.7 L,Avtomat,97 000 km,32 500 $
LADA (VAZ),21099,2002,Gümüşü,Benzin,1.5 L,Mexaniki,230 000 km,6 900 AZN
Mercedes,E 240,1999,Gümüşü,Benzin,2.4 L,Avtomat,195 000 km,12 700 AZN
Hyundai,Sonata,2003,Yaşıl,Benzin,2.0 L,Avtomat,285 000 km,8 400 AZN
LADA (VAZ),21011,1980,Bej,Benzin,1.5 L,Mexaniki,219 854 km,1 800 AZN
Toyota,RAV 4,2020,Boz,Benzin,2.0 L,Avtomat,0 km,29 900 $
Opel,Vectra,1997,Ağ,Benzin,1.8 L,Avtomat,225 000 km,6 700 AZN
GAZ,330232-744,2020,Ağ,Benzin,2.7 L,Mexaniki,0 km,35 500 AZN
Jaguar,F-Type,2016,Boz,Benzin,3.0 L,Avtomat,8 000 km,69 000 $
Toyota,Land Cruiser,2012,Qara,Benzin,4.0 L,Avtomat,126 000 km,35 700 $
Mercedes,C 230,2000,Boz,Benzin,2.3 L,Avtomat,188 000 km,12 400 AZN
Nissan,X-Trail,2013,Boz,Benzin,2.5 L,Avtomat,71 000 km,24 500 AZN
BMW,530,2006,Gümüşü,Benzin,3.0 L,Avtomat,240 000 km,17 200 AZN
Nissan,Sunny,2011,Boz,Benzin,1.6 L,Avtomat,195 000 km,13 200 AZN
Opel,Astra,2007,Ağ,Benzin,1.4 L,Mexaniki,201 000 km,12 200 AZN
FAW,Bestune T33,2019,Ağ,Benzin,1.6 L,Avtomat,0 km,17 600 $
Kia,Rio,2014,Ağ,Benzin,1.6 L,Avtomat,75 000 km,17 400 AZN
MAN,22.321,1996,Yaşıl,Dizel,13 L,Mexaniki,600 000 km,17 500 AZN
Chevrolet,Cruze,2014,Ağ,Benzin,1.4 L,Avtomat,16 500 km,15 600 AZN
Hyundai,Elantra,2008,Qara,Benzin,1.6 L,Avtomat,172 000 km,14 500 AZN
Mercedes,E 200,2001,Gümüşü,Benzin,2.0 L,Avtomat,217 300 km,14 700 AZN
Nissan,Patrol,2019,Boz,Benzin,4.0 L,Avtomat,2 000 km,87 000 $
Toyota,RAV 4,2020,Qara,Benzin,2.0 L,Avtomat,0 km,32 900 $
Toyota,Prado,2019,Qara,Dizel,3.0 L,Avtomat,25 000 km,57 200 $
Mercedes,Sprinter 315,2007,Ağ,Dizel,2.2 L,Mexaniki,400 000 km,33 000 AZN
Opel,Astra,2007,Ağ,Dizel,1.9 L,Avtomat,360 000 km,8 500 AZN
Toyota,Corolla,2014,Yaş Asfalt,Benzin,1.6 L,Avtomat,162 000 km,23 900 AZN
Toyota,Camry,2020,Ağ,Benzin,2.5 L,Avtomat,0 km,46 900 $
LADA (VAZ),Niva,2011,Ağ,Benzin,1.7 L,Mexaniki,161 000 km,9 900 AZN
Hyundai,Santa Fe,2012,Qara,Benzin,2.4 L,Avtomat,135 432 km,28 900 AZN
Honda,CR-V,2020,Qara,Benzin,2.4 L,Avtomat,0 km,38 500 $
LADA (VAZ),2107,1994,Yaş Asfalt,Benzin,1.6 L,Mexaniki,856 435 km,4 000 AZN
Mercedes,E 240,2001,Qara,Benzin,2.6 L,Avtomat,307 000 km,15 900 AZN
LADA (VAZ),Niva,2016,Bənövşəyi,Benzin,1.7 L,Mexaniki,90 000 km,13 000 AZN
Toyota,Prius,2009,Qara,Hibrid,1.5 L,Avtomat,125 000 km,14 800 AZN
Porsche,Cayenne,2006,Ağ,Benzin,3.2 L,Avtomat,200 000 km,20 000 AZN
Mercedes,C 220,1999,Ağ,Dizel,2.2 L,Avtomat,382 000 km,14 700 AZN
Chevrolet,Cruze,2012,Ağ,Benzin,1.4 L,Avtomat,175 000 km,13 600 AZN
Mazda,CX-5,2013,Qara,Benzin,2.5 L,Avtomat,152 000 km,16 900 $
LADA (VAZ),2115,2008,Qara,Benzin,1.6 L,Mexaniki,290 000 km,5 600 AZN
Opel,Astra,2007,Qara,Dizel,1.3 L,Mexaniki,132 000 km,11 500 AZN
Chevrolet,Cruze,2014,Ağ,Benzin,1.4 L,Avtomat,16 500 km,15 600 AZN
LADA (VAZ),2109,1989,Qırmızı,Benzin,1.6 L,Mexaniki,199 000 km,4 900 AZN
Land Rover,Range Rover,2014,Qara,Dizel,3.0 L,Avtomat,82 000 km,68 000 $
Opel,Astra,2007,Ağ,Dizel,1.9 L,Avtomat,360 000 km,8 500 AZN
Ford,Focus,2010,Ağ,Benzin,2.0 L,Avtomat,215 000 km,13 500 AZN
Nissan,Sunny,2010,Göy,Benzin,1.3 L,Avtomat,223 200 km,12 800 AZN
Toyota,Prius,2010,Ağ,Hibrid,1.8 L,Avtomat,167 000 km,18 400 AZN
Toyota,Camry,2020,Ağ,Benzin,2.5 L,Avtomat,0 km,46 900 $
Toyota,Corolla,2006,Boz,Dizel,1.4 L,Avtomat,186 000 km,12 550 AZN
Honda,CR-V,2020,Qara,Benzin,2.4 L,Avtomat,0 km,38 500 $
Jeep,Wrangler,2012,Qara,Benzin,3.6 L,Avtomat,107 000 km,26 500 $
Honda,Pilot,2020,Ağ,Benzin,3.0 L,Avtomat,0 km,51 900 $
GAZ,3302-744,2005,Ağ,Benzin,2.7 L,Mexaniki,419 000 km,11 000 AZN
Land Rover,Range Rover,2014,Yaş Asfalt,Benzin,5.0 L,Avtomat,98 000 km,73 000 $
Ford,Fusion,2014,Qara,Benzin,2.0 L,Avtomat,98 000 km,22 900 AZN
Mercedes,E 240,1999,Ağ,Benzin,2.4 L,Avtomat,256 000 km,15 200 AZN
Mercedes,C 180,1998,Qara,Qaz,1.8 L,Avtomat,500 000 km,9 900 AZN
Chevrolet,Cruze,2015,Yaş Asfalt,Benzin,1.4 L,Avtomat,35 000 km,17 100 AZN
Honda,Pilot,2020,Qara,Benzin,3.0 L,Avtomat,0 km,51 900 $
Lexus,ES 350,2013,Qara,Benzin,3.5 L,Avtomat,176 000 km,26 000 $
Chevrolet,Cruze,2015,Qızılı,Benzin,1.4 L,Avtomat,85 000 km,15 700 AZN
LADA (VAZ),Niva,2013,Ağ,Benzin,1.7 L,Mexaniki,130 000 km,9 350 AZN
Kia,Cerato,2014,Qara,Benzin,1.8 L,Avtomat,70 000 km,18 900 AZN
Ford,Mustang,2015,Tünd qırmızı,Benzin,2.3 L,Avtomat,53 000 km,19 000 $
Fiat,Doblo,2014,Ağ,Benzin,1.4 L,Mexaniki,139 000 km,18 000 AZN
LADA (VAZ),2109,1989,Qırmızı,Benzin,1.6 L,Mexaniki,199 000 km,4 900 AZN
Mercedes,E 240,1998,Gümüşü,Benzin,2.4 L,Avtomat,300 000 km,10 800 AZN
Hyundai,Elantra,2015,Ağ,Dizel,1.6 L,Avtomat,38 500 km,21 200 AZN
Nissan,Maxima,2010,Ağ,Benzin,3.5 L,Avtomat,178 000 km,20 500 AZN
Opel,Astra,2008,Gümüşü,Benzin,1.4 L,Mexaniki,212 000 km,11 800 AZN
Lexus,LX 450,2017,Qara,Dizel,4.5 L,Avtomat,19 200 km,95 000 $
Nissan,Sunny,2002,Qızılı,Benzin,1.6 L,Mexaniki,287 300 km,7 300 AZN
Mercedes,S 350,2017,Qara,Dizel,3.5 L,Avtomat,92 000 km,72 000 $
Mercedes,C 200,1999,Gümüşü,Benzin,2.0 L,Avtomat,331 000 km,11 300 AZN
Mercedes,Atego 1229,2008,Göy,Dizel,6.4 L,Mexaniki,580 000 km,30 500 $
Nissan,Sunny,2010,Göy,Benzin,1.3 L,Avtomat,223 200 km,12 800 AZN
Hyundai,Santa Fe,2012,Qara,Benzin,2.4 L,Avtomat,200 000 km,26 700 AZN
MG,3,2012,Gümüşü,Benzin,1.5 L,Avtomat,62 500 km,8 300 AZN
Hyundai,Elantra,2012,Qara,Benzin,1.8 L,Avtomat,87 203 km,17 500 AZN
LADA (VAZ),2107,2010,Boz,Benzin,1.6 L,Mexaniki,111 111 km,7 350 AZN
LADA (VAZ),2107,2006,Göy,Benzin,1.6 L,Mexaniki,354 643 km,5 500 AZN
Opel,Zafira,2002,Göy,Benzin,1.8 L,Avtomat,249 000 km,9 200 AZN
Toyota,Camry,2018,Qara,Benzin,2.0 L,Avtomat,59 000 km,26 800 $
BMW,750,2010,Qara,Benzin,4.4 L,Avtomat,167 000 km,26 500 $
Mercedes,C 240,2000,Gümüşü,Benzin,2.6 L,Avtomat,212 000 km,11 000 AZN
LADA (VAZ),Niva,2010,Ağ,Benzin,1.7 L,Mexaniki,143 739 km,7 800 AZN
Toyota,Prado,2009,Ağ,Benzin,2.7 L,Avtomat,170 000 km,29 500 AZN
LADA (VAZ),2106,2005,Yaşıl,Benzin,1.6 L,Mexaniki,160 000 km,5 100 AZN
Renault,Megane,2006,Gümüşü,Dizel,1.5 L,Mexaniki,200 000 km,9 100 AZN
Kia,Optima,2011,Qara,Benzin,2.0 L,Avtomat,78 000 km,19 500 AZN
Audi,A6,2018,Ağ,Benzin,2.0 L,Avtomat,18 500 km,44 800 $
LADA (VAZ),Oka,2008,Ağ,Benzin,0.8 L,Mexaniki,185 000 km,2 400 AZN
Opel,Vectra,1996,Göy,Benzin,2.0 L,Mexaniki,361 200 km,4 800 AZN
Hyundai,Elantra,2015,Ağ,Dizel,1.6 L,Avtomat,38 500 km,21 200 AZN
LADA (VAZ),2106,1983,Qara,Benzin,1.6 L,Mexaniki,180 407 km,3 500 AZN
Nissan,Sunny,2002,Qızılı,Benzin,1.6 L,Mexaniki,287 300 km,7 300 AZN
Opel,Astra,1999,Tünd qırmızı,Benzin,1.6 L,Avtomat,281 000 km,7 300 AZN
LADA (VAZ),Niva,2019,Ağ,Benzin,1.7 L,Mexaniki,18 000 km,14 300 AZN
Kia,Mohave,2008,Qara,Benzin,3.8 L,Avtomat,202 000 km,26 000 AZN
Mercedes,C 200,1999,Gümüşü,Benzin,2.0 L,Avtomat,331 000 km,11 300 AZN
Mitsubishi,Outlander,2015,Yaş Asfalt,Benzin,2.4 L,Avtomat,140 000 km,35 000 AZN
Land Rover,Range Rover,2014,Boz,Benzin,5.0 L,Avtomat,102 500 km,83 500 $
Land Rover,Range Rover,2015,Ağ,Benzin,5.0 L,Avtomat,49 000 km,96 500 $
Hyundai,Sonata,2014,Boz,Benzin,2.0 L,Avtomat,66 600 km,29 000 AZN
Toyota,Prado,2008,Qara,Benzin,2.7 L,Avtomat,172 000 km,28 500 AZN
LADA (VAZ),Vesta,2016,Yaş Asfalt,Benzin,1.6 L,Mexaniki,75 000 km,18 000 AZN
Mitsubishi,Lancer,2008,Qara,Benzin,2.0 L,Variator,200 000 km,15 500 AZN
Opel,Zafira,2002,Göy,Benzin,1.8 L,Avtomat,249 000 km,9 200 AZN
Chevrolet,Lacetti,2008,Göy,Benzin,1.6 L,Avtomat,144 000 km,10 800 AZN
Mercedes,ML 400,2003,Qara,Dizel,4.0 L,Avtomat,333 333 km,12 500 AZN
GAZ,33023-744,2006,Ağ,Benzin,2.4 L,Mexaniki,220 000 km,13 000 AZN
Mercedes,190,1990,Ağ,Benzin,1.8 L,Avtomat,396 000 km,7 500 AZN
Opel,Astra,2008,Qara,Benzin,1.4 L,Mexaniki,145 000 km,11 000 AZN
GMC,Sierra,2001,Boz,Benzin,4.3 L,Avtomat,252 000 km,13 000 $
Nissan,X-Trail,2004,Gümüşü,Benzin,2.0 L,Avtomat,152 700 km,11 900 AZN
Kia,Optima,2011,Qara,Benzin,2.0 L,Avtomat,78 000 km,19 500 AZN
LADA (VAZ),2114,2006,Yaş Asfalt,Benzin,1.6 L,Mexaniki,198 000 km,6 500 AZN
Kia,Optima,2015,Qızılı,Benzin,2.4 L,Avtomat,95 000 km,22 500 AZN
Kia,Mohave,2008,Qara,Benzin,3.8 L,Avtomat,202 000 km,26 000 AZN
Hyundai,Terracan,2004,Boz,Dizel,2.9 L,Avtomat,288 000 km,12 500 AZN
Opel,Astra,2007,Yaş Asfalt,Dizel,1.3 L,Mexaniki,171 000 km,10 900 AZN
Toyota,Prado,2004,Gümüşü,Dizel,3.0 L,Avtomat,360 000 km,33 000 AZN
Hyundai,Elantra,2009,Tünd qırmızı,Benzin,2.0 L,Avtomat,141 000 km,14 200 AZN
LADA (VAZ),2107,2006,Bənövşəyi,Benzin,1.5 L,Mexaniki,250 000 km,5 500 AZN
Volkswagen,Passat,2002,Boz,Benzin,1.8 L,Avtomat,340 000 km,7 800 AZN
Mercedes,E 220,2008,Qara,Dizel,2.2 L,Avtomat,268 000 km,25 800 AZN
LADA (VAZ),2106,1985,Qırmızı,Benzin,1.6 L,Mexaniki,100 000 km,4 200 AZN
Land Rover,Range Rover,2009,Qara,Benzin,5.0 L,Avtomat,192 000 km,31 000 $
Mitsubishi,Lancer,2008,Qara,Benzin,2.0 L,Variator,200 000 km,15 500 AZN
Chevrolet,Cruze,2015,Qırmızı,Benzin,1.4 L,Avtomat,169 000 km,14 600 AZN
Mercedes,E 220,2003,Boz,Dizel,2.2 L,Avtomat,274 000 km,15 800 AZN
Mercedes,ML 400,2003,Qara,Dizel,4.0 L,Avtomat,333 333 km,12 500 AZN
GAZ,33023-744,2006,Ağ,Benzin,2.4 L,Mexaniki,220 000 km,13 000 AZN
Mercedes,E 230,1997,Ağ,Benzin,2.3 L,Avtomat,450 000 km,9 700 AZN
Hyundai,Tucson,2007,Ağ,Benzin,2.0 L,Avtomat,216 367 km,16 000 AZN
Mercedes,C 230,1999,Qara,Benzin,2.3 L,Avtomat,197 092 km,11 000 AZN
LADA (VAZ),Niva,1989,Bej,Benzin,1.6 L,Mexaniki,870 088 km,4 200 AZN
Mazda,3,2016,Boz,Benzin,2.0 L,Avtomat,36 004 km,24 700 AZN
Nissan,X-Trail,2004,Gümüşü,Benzin,2.0 L,Avtomat,152 700 km,11 900 AZN
Mercedes,C 180,1995,Qəhvəyi,Benzin,1.8 L,Avtomat,320 000 km,9 300 AZN
Ford,Escape,2002,Qızılı,Benzin,3.0 L,Avtomat,280 000 km,8 600 AZN
Mercedes,GLA 250,2015,Qara,Benzin,2.0 L,Avtomat,37 000 km,25 500 $
Chevrolet,Cruze,2013,Ağ,Benzin,1.4 L,Avtomat,96 000 km,14 500 AZN
LADA (VAZ),2114,2011,Qara,Benzin,1.6 L,Mexaniki,220 000 km,8 800 AZN
LADA (VAZ),Niva,2012,Ağ,Benzin,1.7 L,Mexaniki,70 000 km,11 200 AZN
Mercedes,C 230,2000,Göy,Benzin,2.3 L,Avtomat,290 000 km,12 800 AZN
Kia,Cerato,2013,Ağ,Benzin,1.8 L,Avtomat,127 000 km,18 500 AZN
LADA (VAZ),2106,1999,Bənövşəyi,Benzin,1.6 L,Mexaniki,155 000 km,4 800 AZN
Daewoo,Nexia,2010,Qara,Benzin,1.5 L,Mexaniki,94 548 km,8 700 AZN
Toyota,Land Cruiser,2012,Ağ,Benzin,4.6 L,Avtomat,132 000 km,40 800 $
Mercedes,E 220,2008,Qara,Dizel,2.2 L,Avtomat,268 000 km,25 800 AZN
Mercedes,B 170,2007,Gümüşü,Benzin,1.7 L,Avtomat,115 000 km,11 800 AZN
BMW,328,2014,Ağ,Benzin,2.0 L,Avtomat,137 000 km,17 900 $
LADA (VAZ),Niva,2015,Göy,Benzin,1.7 L,Mexaniki,79 000 km,12 500 AZN
BMW,528,2012,Göy,Benzin,2.0 L,Avtomat,133 000 km,18 500 $
LADA (VAZ),2107,2007,Ağ,Benzin,1.5 L,Mexaniki,175 000 km,4 650 AZN
Toyota,RAV 4,2006,Qara,Benzin,2.4 L,Avtomat,169 000 km,16 800 AZN
Toyota,Prius,2014,Qırmızı,Hibrid,1.8 L,Avtomat,66 356 km,23 000 AZN
Ford,Fusion,2014,Ağ,Benzin,1.5 L,Avtomat,230 000 km,18 800 AZN
Chevrolet,Cruze,2012,Qara,Benzin,1.4 L,Avtomat,100 000 km,14 600 AZN
Hyundai,Grandeur,2014,Ağ,Benzin,2.4 L,Avtomat,50 400 km,18 000 $
Hyundai,Sonata,2009,Qara,Benzin,2.4 L,Avtomat,143 000 km,21 000 AZN
Mercedes,GL 350,2011,Yaş Asfalt,Dizel,3.0 L,Avtomat,98 000 km,31 000 $
Lexus,RX 400 H,2008,Yaş Asfalt,Hibrid,3.3 L,Avtomat,165 000 km,23 500 AZN
Lexus,GS 300,2006,Yaş Asfalt,Benzin,3.0 L,Avtomat,203 000 km,16 800 AZN
BYD,F3,2014,Ağ,Benzin,1.5 L,Mexaniki,205 000 km,7 900 AZN
Nissan,Tiida,2007,Qara,Benzin,1.6 L,Avtomat,189 942 km,11 800 AZN
Mitsubishi,Pajero,2007,Qara,Benzin,3.0 L,Avtomat,235 000 km,21 900 AZN
Lexus,LX 470,2004,Bej,Benzin,4.7 L,Avtomat,237 000 km,21 600 $
