Marka,Model,Buraxlis ili,Reng,Yanacaq novu,Muherrik hecmi,Suretler_qutusu,Yurus,Qiymet
Nissan,Sunny,2019,Ağ,Benzin,0.2 L,Avtomat,23 000 km,26 000 AZN
Opel,Vectra,1996,Qızılı,Benzin,1.8 L,Avtomat,393 370 km,5 400 AZN
Renault,Megane,2006,Qara,Dizel,1.5 L,Mexaniki,292 000 km,9 800 AZN
Mercedes,S 63 AMG,2018,Qara,Benzin,4.0 L,Avtomat,4 000 km,195 000 $
Chevrolet,Cruze,2015,Qara,Benzin,1.4 L,Avtomat,108 000 km,16 000 AZN
Kia,Ceed,2008,Boz,Dizel,1.6 L,Mexaniki,223 000 km,14 500 AZN
Volkswagen,Passat CC,2012,Qara,Benzin,2.0 L,Avtomat,110 000 km,23 000 AZN
Mercedes,E 200,2015,Göy,Benzin,2.0 L,Avtomat,8 915 km,35 800 $
Mercedes,C 220,1993,Qırmızı,Benzin,2.2 L,Mexaniki,268 936 km,6 300 AZN
LADA (VAZ),2112,2007,Qara,Benzin,1.5 L,Mexaniki,97 603 km,8 300 AZN
Mercedes,E 280,1997,Yaşıl,Benzin,2.8 L,Avtomat,116 553 km,10 300 AZN
Chevrolet,Cruze,2014,Göy,Benzin,1.4 L,Avtomat,130 000 km,14 800 AZN
Kia,Rio,2018,Qara,Benzin,1.4 L,Avtomat,41 000 km,22 000 AZN
LADA (VAZ),2107,2003,Ağ,Benzin,1.5 L,Mexaniki,535 590 km,4 800 AZN
BMW,328,2013,Yaş Asfalt,Benzin,2.0 L,Avtomat,93 000 km,20 500 $
Chevrolet,Cruze,2013,Mavi,Benzin,1.4 L,Avtomat,72 000 km,15 800 AZN
Mercedes,C 180,1995,Bənövşəyi,Benzin,1.8 L,Mexaniki,485 000 km,6 800 AZN
Lexus,GX 460,2014,Ağ,Benzin,4.6 L,Avtomat,80 000 km,53 800 $
Mercedes,190,1992,Qızılı,Benzin,2.0 L,Mexaniki,267 721 km,5 500 AZN
Audi,A6,2012,Ağ,Benzin,2.8 L,Avtomat,171 000 km,210 000 $
LADA (VAZ),2106,2000,Gümüşü,Benzin,1.6 L,Mexaniki,100 000 km,5 400 AZN
Opel,Vita,1999,Tünd qırmızı,Benzin,1.4 L,Avtomat,189 000 km,6 500 AZN
Opel,Astra,1999,Qırmızı,Benzin,1.6 L,Mexaniki,235 285 km,7 800 AZN
Hyundai,Elantra,2011,Ağ,Benzin,1.8 L,Avtomat,19 455 km,16 700 AZN
Mercedes,E 350,2005,Gümüşü,Benzin,3.5 L,Avtomat,288 000 km,16 700 AZN
Chery,E5,2013,Ağ,Benzin,1.8 L,Avtomat,167 000 km,11 000 AZN
Mercedes,A 160,2001,Ağ,Benzin,1.6 L,Avtomat,207 777 km,7 500 AZN
LADA (VAZ),2107,1993,Qırmızı,Benzin,1.5 L,Mexaniki,115 000 km,2 900 AZN
Chevrolet,Aveo,2013,Qara,Benzin,1.4 L,Avtomat,208 000 km,12 000 AZN
Mercedes,190,1990,Qəhvəyi,Benzin,2.0 L,Avtomat,316 700 km,5 200 AZN
Honda,CR-V,2008,Ağ,Benzin,2.4 L,Avtomat,258 300 km,21 500 AZN
Toyota,Prius,2007,Boz,Hibrid,1.5 L,Robotlaşdırılmış,168 000 km,11 900 AZN
BMW,525,2000,Qara,Benzin,2.5 L,Avtomat,240 000 km,14 000 AZN
Hyundai,Elantra,2012,Tünd qırmızı,Benzin,1.8 L,Avtomat,117 636 km,16 500 AZN
LADA (VAZ),2106,1997,Göy,Benzin,1.6 L,Mexaniki,247 300 km,5 200 AZN
Hyundai,Elantra,2016,Qara,Benzin,2.0 L,Avtomat,85 800 km,23 800 AZN
Kia,Rio,2008,Qara,Benzin,1.4 L,Avtomat,186 000 km,10 900 AZN
Hyundai,Sonata,2008,Boz,Benzin,2.0 L,Avtomat,116 000 km,18 600 AZN
Ford,Transit,2010,Ağ,Dizel,2.4 L,Mexaniki,194 000 km,32 000 AZN
BMW,330,2017,Gümüşü,Benzin,2.0 L,Avtomat,46 000 km,27 900 $
Kia,Rio,2012,Ağ,Benzin,1.4 L,Avtomat,147 000 km,15 600 AZN
Chevrolet,Aveo,2014,Ağ,Benzin,1.4 L,Avtomat,99 000 km,15 700 AZN
Kia,Optima,2014,Yaş Asfalt,Benzin,2.0 L,Avtomat,150 000 km,21 500 AZN
Kia,Rio,2010,Qara,Benzin,1.4 L,Mexaniki,146 000 km,12 600 AZN
Kia,Rio,2006,Gümüşü,Dizel,1.5 L,Mexaniki,160 000 km,11 700 AZN
Hyundai,i30,2009,Gümüşü,Dizel,1.6 L,Avtomat,135 000 km,14 700 AZN
Fiat,Doblo,2008,Qəhvəyi,Dizel,1.3 L,Mexaniki,164 000 km,14 400 AZN
Hyundai,Elantra,2011,Ağ,Benzin,1.8 L,Avtomat,19 455 km,16 700 AZN
BMW,528,2012,Ağ,Benzin,2.0 L,Avtomat,77 300 km,22 500 $
Volkswagen,Passat,2017,Qara,Benzin,1.8 L,Avtomat,53 000 km,28 900 $
LADA (VAZ),2107,1993,Qırmızı,Benzin,1.5 L,Mexaniki,115 000 km,2 900 AZN
Chevrolet,Cruze,2012,Ağ,Benzin,1.4 L,Mexaniki,145 000 km,13 800 AZN
Mercedes,Vito,2016,Göy,Dizel,1.6 L,Mexaniki,80 000 km,22 000 $
Chevrolet,Trax,2015,Qara,Benzin,1.4 L,Avtomat,45 000 km,18 800 AZN
LADA (VAZ),2115,2012,Ağ,Benzin,1.6 L,Mexaniki,291 253 km,7 900 AZN
Hyundai,Accent,2017,Ağ,Benzin,1.6 L,Avtomat,52 400 km,17 700 AZN
LADA (VAZ),2107,1981,Bej,Benzin,1.3 L,Mexaniki,200 000 km,2 600 AZN
BMW,528,2012,Göy,Benzin,2.0 L,Avtomat,125 000 km,22 300 $
BMW,525,2000,Qara,Benzin,2.5 L,Avtomat,240 000 km,14 000 AZN
Opel,Astra,2005,Boz,Benzin,1.4 L,Mexaniki,248 000 km,10 000 AZN
Mazda,6,2017,Göy,Benzin,2.5 L,Avtomat,48 000 km,26 300 $
Opel,Zafira,2000,Göy,Benzin,1.6 L,Mexaniki,340 000 km,8 800 AZN
Hyundai,Elantra,2012,Boz,Benzin,1.8 L,Avtomat,146 000 km,17 900 AZN
Hyundai,Sonata,2008,Boz,Benzin,2.0 L,Avtomat,116 000 km,18 600 AZN
Mercedes,E 200,2013,Boz,Benzin,2.0 L,Avtomat,146 800 km,23 800 $
Fiat,Doblo,2007,Qəhvəyi,Dizel,1.3 L,Mexaniki,259 000 km,11 900 AZN
Audi,A6,2001,Qara,Benzin,2.8 L,Mexaniki,350 132 km,9 500 AZN
Mercedes,190,1990,Qəhvəyi,Benzin,2.0 L,Avtomat,316 700 km,5 200 AZN
Hyundai,Elantra,2014,Ağ,Benzin,1.8 L,Avtomat,156 000 km,25 500 AZN
Fiat,Albea,2006,Sarı,Benzin,1.5 L,Mexaniki,25 000 km,2 300 AZN
LADA (VAZ),2106,1984,Ağ,Benzin,1.6 L,Mexaniki,458 900 km,3 700 AZN
Opel,Astra,2007,Gümüşü,Dizel,1.3 L,Mexaniki,248 148 km,12 700 AZN
LADA (VAZ),2107,2000,Qırmızı,Benzin,1.6 L,Mexaniki,130 000 km,4 500 AZN
LADA (VAZ),2106,1999,Ağ,Benzin,1.6 L,Mexaniki,254 807 km,5 500 AZN
Hyundai,Accent,2013,Göy,Benzin,1.6 L,Avtomat,160 000 km,15 800 AZN
LADA (VAZ),2106,2005,Ağ,Benzin,1.6 L,Mexaniki,100 000 km,5 400 AZN
Kia,Sorento,2013,Ağ,Benzin,2.4 L,Avtomat,51 300 km,32 300 AZN
Fiat,Doblo,2006,Ağ,Dizel,1.3 L,Mexaniki,350 000 km,9 500 AZN
Mercedes,190,1991,Gümüşü,Benzin,2.0 L,Avtomat,326 700 km,5 200 AZN
Hyundai,Accent,2017,Ağ,Benzin,1.6 L,Avtomat,52 400 km,17 700 AZN
Opel,Astra,2005,Boz,Benzin,1.4 L,Mexaniki,248 000 km,10 000 AZN
Chevrolet,Aveo,2010,Gümüşü,Benzin,1.4 L,Mexaniki,169 000 km,10 900 AZN
Volkswagen,Passat,2005,Ağ,Benzin,2.0 L,Avtomat,275 000 km,8 800 AZN
LADA (VAZ),Niva,2015,Göy,Benzin,1.7 L,Mexaniki,106 000 km,12 100 AZN
Hyundai,Santa Fe,2006,Yaş Asfalt,Dizel,2.0 L,Avtomat,177 000 km,19 900 AZN
Ford,Focus,2011,Qırmızı,Benzin,1.6 L,Avtomat,11 486 km,18 000 AZN
Mercedes,E 220,2003,Gümüşü,Dizel,2.2 L,Avtomat,218 000 km,17 000 AZN
Hyundai,Tucson,2013,Qara,Benzin,2.0 L,Avtomat,157 300 km,26 000 AZN
BMW,X5,2001,Gümüşü,Benzin,4.4 L,Avtomat,234 000 km,14 400 AZN
Audi,A6,2001,Qara,Benzin,2.8 L,Mexaniki,350 132 km,9 500 AZN
Tofas,Sahin,2005,Gümüşü,Benzin,1.6 L,Mexaniki,124 546 km,4 500 AZN
LADA (VAZ),2107,2007,Qırmızı,Benzin,1.6 L,Mexaniki,95 236 km,5 500 AZN
Mercedes,E 220,2004,Göy,Dizel,2.2 L,Avtomat,365 000 km,15 200 AZN
Opel,Astra,2000,Gümüşü,Benzin,1.6 L,Avtomat,223 542 km,9 400 AZN
Kia,Sportage,2010,Ağ,Benzin,2.0 L,Avtomat,146 000 km,22 000 AZN
LADA (VAZ),2115,2011,Qara,Benzin,1.6 L,Mexaniki,155 738 km,8 500 AZN
LADA (VAZ),Priora,2018,Qara,Benzin,1.6 L,Mexaniki,60 000 km,16 000 AZN
Mercedes,C 180,1998,Qara,Benzin,1.8 L,Avtomat,460 000 km,9 600 AZN
Toyota,RAV 4,2018,Ağ,Benzin,2.0 L,Avtomat,18 200 km,27 300 $
Audi,A4,2007,Qara,Benzin,2.0 L,Avtomat,155 000 km,12 500 AZN
LADA (VAZ),Niva,2015,Ağ,Benzin,1.7 L,Mexaniki,69 000 km,11 000 AZN
Mercedes,E 350,2009,Qara,Benzin,3.5 L,Avtomat,129 000 km,19 200 $
Chevrolet,Cruze,2012,Gümüşü,Benzin,1.4 L,Avtomat,114 000 km,14 000 AZN
LADA (VAZ),Granta,2015,Qara,Benzin,1.6 L,Mexaniki,210 000 km,11 000 AZN
Zontes,Panther ZT150-8A,2014,Narıncı,Benzin,0.2 L,Mexaniki,14 100 km,2 800 AZN
LADA (VAZ),21099,1998,Yaşıl,Benzin,1.5 L,Mexaniki,278 545 km,6 000 AZN
LADA (VAZ),Niva,2015,Göy,Benzin,1.7 L,Mexaniki,106 000 km,12 100 AZN
Audi,A6,2013,Boz,Benzin,3.0 L,Avtomat,98 000 km,25 300 $
Chevrolet,Cruze,2013,Ağ,Benzin,1.4 L,Avtomat,175 000 km,15 300 AZN
Opel,Astra,2007,Ağ,Dizel,1.9 L,Mexaniki,268 767 km,10 500 AZN
Chevrolet,Malibu,2017,Yaş Asfalt,Benzin,1.5 L,Avtomat,110 000 km,22 400 AZN
Ford,Escape,2018,Qəhvəyi,Benzin,1.5 L,Avtomat,52 000 km,27 500 AZN
Mercedes,609 D,2001,Bənövşəyi,Dizel,3.0 L,Mexaniki,360 000 km,11 500 AZN
Mercedes,Vito 111,2010,Gümüşü,Dizel,2.2 L,Mexaniki,288 620 km,28 000 AZN
LADA (VAZ),2107,2007,Qırmızı,Benzin,1.6 L,Mexaniki,100 000 km,7 000 AZN
Tofas,Dogan,2005,Qırmızı,Benzin,1.6 L,Mexaniki,150 000 km,5 000 AZN
Toyota,FJ Cruiser,2013,Qara,Benzin,4.0 L,Avtomat,92 000 km,35 900 $
Toyota,Prado,2008,Qara,Benzin,4.0 L,Avtomat,225 000 km,20 900 $
LADA (VAZ),2115,2011,Qara,Benzin,1.6 L,Mexaniki,155 738 km,8 500 AZN
Mercedes,C 180,1995,Göy,Benzin,1.8 L,Avtomat,186 000 km,8 400 AZN
GAZ,2705,1998,Ağ,Benzin,2.5 L,Mexaniki,152 000 km,6 600 AZN
Toyota,Land Cruiser,2018,Qara,Benzin,4.0 L,Avtomat,64 000 km,69 000 $
Mercedes,E 220,2001,Gümüşü,Dizel,2.2 L,Avtomat,370 km,17 200 AZN
LADA (VAZ),2107,2003,Ağ,Benzin,1.6 L,Mexaniki,45 467 km,4 500 AZN
LADA (VAZ),Priora,2014,Ağ,Benzin,1.6 L,Mexaniki,188 000 km,13 700 AZN
Nissan,Qashqai,2013,Ağ,Benzin,2.0 L,Avtomat,145 000 km,19 800 AZN
Daewoo,Damas,2007,Ağ,Benzin,0.8 L,Mexaniki,112 233 km,3 500 AZN
Land Rover,Discovery,2014,Göy,Benzin,3.0 L,Avtomat,54 000 km,56 000 $
LADA (VAZ),2107,1989,Ağ,Benzin,1.6 L,Mexaniki,234 000 km,3 150 AZN
Mercedes,E 200,2004,Qara,Benzin,1.8 L,Avtomat,255 000 km,16 000 AZN
Chevrolet,Cruze,2013,Ağ,Benzin,1.4 L,Avtomat,175 000 km,15 300 AZN
Hyundai,Elantra,1996,Yaşıl,Benzin,1.6 L,Mexaniki,255 000 km,4 500 AZN
Kia,Rio,2008,Boz,Benzin,1.4 L,Avtomat,213 300 km,10 800 AZN
Toyota,RAV 4,2019,Qara,Benzin,2.0 L,Avtomat,5 800 km,36 900 $
Marka,Model,Buraxlis ili,Reng,Yanacaq novu,Muherrik hecmi,Suretler_qutusu,Yurus,Qiymet
Marka,Model,Buraxlis ili,Reng,Yanacaq novu,Muherrik hecmi,Suretler_qutusu,Yurus,Qiymet
Opel,Astra,1999,Tünd qırmızı,Benzin,1.6 L,Avtomat,281 000 km,7 500 AZN
Ford,Fusion,2017,Boz,Benzin,1.5 L,Avtomat,29 000 km,24 000 AZN
Mercedes,Viano,2010,Qara,Dizel,2.2 L,Mexaniki,200 000 km,20 300 $
Volkswagen,Passat,2014,Gümüşü,Benzin,1.8 L,Avtomat,90 450 km,17 800 AZN
LADA (VAZ),2109,1993,Yaşıl,Benzin,1.6 L,Mexaniki,250 000 km,2 900 AZN
Hyundai,Sonata,2015,Göy,Benzin,2.4 L,Avtomat,62 000 km,29 400 AZN
Opel,Vectra,1999,Göy,Benzin,1.8 L,Avtomat,286 000 km,8 000 AZN
Mercedes,C 220,1995,Yaşıl,Benzin,2.2 L,Avtomat,425 676 km,9 500 AZN
LADA (VAZ),21099,1999,Yaşıl,Benzin,1.5 L,Mexaniki,270 000 km,6 450 AZN
Opel,Vectra,1998,Qızılı,Benzin,1.6 L,Avtomat,380 000 km,7 000 AZN
Volkswagen,Passat,2005,Qəhvəyi,Benzin,2.0 L,Avtomat,203 850 km,10 000 AZN
Ford,Transit,1998,Ağ,Dizel,2.5 L,Mexaniki,200 000 km,13 800 AZN
BMW,728,1996,Qara,Benzin,2.8 L,Avtomat,213 650 km,6 500 AZN
Haojue,HJ150-3C,2013,Qara,Benzin,0.2 L,Mexaniki,100 km,900 AZN
Mercedes,C 200,2006,Qara,Benzin,2.0 L,Avtomat,191 700 km,13 500 AZN
LADA (VAZ),2107,2002,Ağ,Benzin,1.5 L,Mexaniki,120 000 km,4 400 AZN
Opel,Astra,2008,Qara,Dizel,1.9 L,Mexaniki,246 200 km,12 000 AZN
Hyundai,Elantra,2016,Ağ,Benzin,1.8 L,Avtomat,200 000 km,12 900 $
LADA (VAZ),2107,2003,Ağ,Benzin,1.6 L,Mexaniki,55 444 km,5 500 AZN
LADA (VAZ),2106,1984,Göy,Benzin,1.6 L,Mexaniki,354 265 km,3 500 AZN
Volkswagen,Jetta,2016,Ağ,Benzin,1.4 L,Avtomat,18 000 km,19 800 AZN
LADA (VAZ),2106,1986,Yaşıl,Benzin,1.5 L,Mexaniki,137 654 km,2 800 AZN
Nissan,Maxima,2001,Qara,Benzin,3.0 L,Avtomat,200 000 km,6 500 AZN
Opel,Astra,2008,Qara,Benzin,1.4 L,Mexaniki,178 104 km,12 500 AZN
Toyota,Prius,2008,Mavi,Hibrid,1.5 L,Avtomat,139 000 km,12 000 AZN
Mercedes,S 320,1995,Gümüşü,Benzin,3.2 L,Avtomat,390 000 km,17 400 AZN
LADA (VAZ),2107,2010,Qara,Benzin,1.6 L,Mexaniki,57 000 km,7 400 AZN
LADA (VAZ),Priora,2017,Yaş Asfalt,Benzin,1.6 L,Mexaniki,104 000 km,13 000 AZN
Hyundai,Veloster,2016,Gümüşü,Benzin,1.6 L,Avtomat,57 000 km,18 500 AZN
Mercedes,C 220,1998,Qara,Dizel,2.2 L,Avtomat,354 000 km,12 800 AZN
Toyota,Prado,2008,Ağ,Dizel,3.0 L,Avtomat,169 700 km,27 900 $
Mercedes,E 280,2007,Gümüşü,Dizel,3.0 L,Avtomat,231 667 km,18 500 AZN
LADA (VAZ),2107,2000,Bənövşəyi,Benzin,1.6 L,Mexaniki,259 550 km,3 500 AZN
Chevrolet,Cruze,2017,Ağ,Benzin,1.4 L,Avtomat,68 000 km,18 000 AZN
LADA (VAZ),2106,2004,Qara,Benzin,1.6 L,Mexaniki,64 510 km,5 500 AZN
Opel,Astra,2007,Göy,Benzin,1.4 L,Mexaniki,170 485 km,10 200 AZN
GAZ,31105,2005,Boz,Benzin,2.4 L,Mexaniki,170 000 km,4 600 AZN
Toyota,Prius,2007,Yaş Asfalt,Benzin,1.5 L,Avtomat,153 000 km,11 000 AZN
LADA (VAZ),2107,2002,Ağ,Benzin,1.5 L,Mexaniki,120 000 km,4 400 AZN
LADA (VAZ),2107,2003,Ağ,Benzin,1.6 L,Mexaniki,55 444 km,5 500 AZN
